Zip Code,Year,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years)
95679,2017,64.0,62.5,37.5,0.0,0.0,25.0,0.0,0.0,0.0,0.0,43.8,0.0,15.6,0.0,0.0,15.6,
95679,2018,71.0,62.0,38.0,0.0,0.0,25.4,0.0,0.0,0.0,0.0,43.7,0.0,15.5,0.0,0.0,15.5,0.0
95679,2019,56.0,55.4,44.6,0.0,0.0,30.4,0.0,0.0,0.0,0.0,51.8,17.9,0.0,0.0,0.0,0.0,
95679,2020,63.0,60.3,39.7,0.0,0.0,31.7,0.0,0.0,0.0,0.0,57.1,11.1,0.0,0.0,0.0,0.0,
95679,2021,169.0,72.8,27.2,0.0,17.2,8.9,0.0,0.0,0.0,26.6,16.0,18.9,0.0,12.4,0.0,0.0,
95679,2022,131.0,73.3,26.7,0.0,20.6,0.0,0.0,0.0,0.0,32.8,0.0,26.7,0.0,19.8,0.0,0.0,
95687,2017,67504.0,52.5,47.5,5.4,6.6,6.0,5.9,7.3,15.1,12.5,14.4,7.0,6.1,7.8,4.0,1.9,
95687,2018,68069.0,52.7,47.3,5.2,6.5,5.9,5.8,6.8,16.0,12.8,14.0,6.7,6.1,8.1,4.2,1.9,0.0
95687,2019,69060.0,52.7,47.3,5.3,6.8,6.0,5.6,6.5,15.9,13.0,13.6,6.6,6.2,8.5,4.1,2.0,
95687,2020,69073.0,53.5,46.5,5.5,6.4,5.5,5.3,6.1,16.9,13.0,13.6,6.4,6.4,8.8,4.4,1.8,
95687,2021,69825.0,54.0,46.0,5.5,5.9,5.2,5.3,6.0,17.4,13.5,12.8,6.5,6.7,9.2,4.3,1.6,
95687,2022,68996.0,53.6,46.4,5.7,6.3,5.1,5.8,5.6,18.0,13.9,11.4,6.3,7.1,9.2,4.1,1.6,
95688,2017,36745.0,50.6,49.4,6.1,5.6,7.7,6.4,6.3,13.2,12.2,15.0,7.2,5.9,8.8,3.7,1.8,
95688,2018,37227.0,50.0,50.0,5.7,6.0,8.4,6.2,6.3,13.3,11.8,13.9,7.7,6.2,9.3,3.5,1.8,0.0
95688,2019,37260.0,49.7,50.3,6.2,5.8,7.4,5.7,6.3,13.7,12.1,14.0,7.5,6.2,9.5,3.7,1.7,
95688,2020,38114.0,49.3,50.7,6.2,7.2,6.2,5.5,6.4,12.6,12.2,13.4,8.1,5.8,10.3,4.3,1.9,
95688,2021,39967.0,48.6,51.4,6.2,7.6,6.5,5.8,7.1,11.6,12.9,12.6,8.1,6.0,9.9,4.0,1.7,
95688,2022,40147.0,48.8,51.2,5.9,7.6,6.9,6.1,7.4,10.8,13.6,11.3,7.9,6.2,9.9,4.7,1.9,
95694,2017,10310.0,49.9,50.1,6.7,6.9,6.8,7.1,6.3,12.1,13.1,13.0,9.1,7.7,8.3,2.0,1.1,
95694,2018,10386.0,49.5,50.5,7.4,5.2,6.3,6.9,7.6,12.0,11.3,15.0,8.7,7.4,8.4,2.3,1.3,0.0
95694,2019,10495.0,50.2,49.8,8.1,6.2,7.1,6.3,7.3,12.4,11.8,12.3,8.9,7.9,7.8,2.6,1.2,
95694,2020,10549.0,51.2,48.8,5.6,5.8,5.9,6.5,8.0,11.8,13.8,16.5,7.5,7.3,7.0,3.7,0.7,
95694,2021,9858.0,51.4,48.6,5.9,4.5,5.2,8.3,8.3,12.2,11.4,17.5,10.0,4.9,6.8,4.3,0.9,
95694,2022,9600.0,51.0,49.0,5.3,3.9,6.3,9.2,8.0,11.4,12.8,18.2,9.6,4.1,6.3,4.0,1.0,
95695,2017,40121.0,48.6,51.4,5.8,6.5,6.9,6.2,6.9,13.3,13.1,13.1,5.8,6.8,8.8,4.2,2.5,
95695,2018,40857.0,48.0,52.0,6.0,6.8,7.2,6.4,6.4,13.1,13.0,12.9,5.5,6.2,9.4,4.3,2.8,0.0
