County,ZIP Code,Year,New,Renewed,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,Non-Renewed,Active
Sonoma,95444,2020,31,243,,,19,274
Sonoma,95444,2021,28,246,,,24,274
Sonoma,95444,2022,27,247,,,27,274
Mendocino,95445,2020,110,1018,,,114,1128
Mendocino,95445,2021,123,987,,,143,1110
Mendocino,95445,2022,105,946,,,137,1051
Sonoma,95446,2020,314,2536,,,242,2850
Sonoma,95446,2021,381,2430,,,383,2811
Sonoma,95446,2022,314,2218,,,479,2532
Sonoma,95448,2020,472,4912,,,433,5384
Sonoma,95448,2021,617,4900,,,537,5517
Sonoma,95448,2022,655,4761,,,598,5416
Mendocino,95449,2020,45,252,,,33,297
Mendocino,95449,2021,59,266,,,32,325
Mendocino,95449,2022,34,281,,,39,315
Sonoma,95450,2020,29,231,,,27,260
Sonoma,95450,2021,21,235,,,28,256
Sonoma,95450,2022,17,213,,,32,230
Lake,95451,2020,460,3728,,,480,4188
Lake,95451,2021,365,3657,,,474,4022
Lake,95451,2022,326,3569,,,386,3895
Sonoma,95452,2020,60,595,,,54,655
Sonoma,95452,2021,70,606,,,66,676
Sonoma,95452,2022,85,551,,,90,636
Lake,95457,2020,99,1001,,,110,1100
Lake,95457,2021,77,972,,,114,1049
Lake,95457,2022,61,930,,,114,991
Lake,95461,2020,98,977,,,84,1075
Lake,95461,2021,84,979,,,98,1063
Lake,95461,2022,87,854,,,177,941
Sonoma,95462,2020,101,802,,,106,903
Sonoma,95462,2021,117,792,,,115,909
Sonoma,95462,2022,124,702,,,174,826
Sonoma,95465,2020,61,566,,,57,627
Sonoma,95465,2021,72,563,,,54,635
Sonoma,95465,2022,83,530,,,102,613
Lake,95467,2020,305,2181,,,268,2486
Lake,95467,2021,328,2144,,,311,2472
Lake,95467,2022,309,2036,,,367,2345
Sonoma,95471,2020,23,105,,,25,128
Sonoma,95471,2021,25,130,,,25,155
Sonoma,95471,2022,16,137,,,24,153
Sonoma,95472,2020,915,8996,,,770,9911
Sonoma,95472,2021,858,8998,,,787,9856
Sonoma,95472,2022,916,8931,,,828,9847
Sonoma,95476,2020,1223,10636,,,1117,11859
Sonoma,95476,2021,1350,10536,,,1240,11886
Sonoma,95476,2022,1237,10419,,,1248,11656
Sonoma,95486,2020,3,55,,,2,58
Sonoma,95486,2021,5,52,,,7,57
Sonoma,95486,2022,4,47,,,10,51
Sonoma,95492,2020,812,8151,,,723,8963
Sonoma,95492,2021,904,8070,,,875,8974
Sonoma,95492,2022,712,8039,,,767,8751
Sonoma,95497,2020,201,1229,,,173,1430
Sonoma,95497,2021,196,1223,,,165,1419
Sonoma,95497,2022,195,1194,,,188,1389
Yolo,95606,2020,7,30,,,6,37
Yolo,95606,2021,8,30,,,8,38
Yolo,95606,2022,2,34,,,3,36
Yolo,95607,2020,9,60,,,15,69
Yolo,95607,2021,5,63,,,12,68
Yolo,95607,2022,12,56,,,19,68
Yolo,95616,2020,656,8290,,,617,8946
Yolo,95616,2021,788,8310,,,725,9098
Yolo,95616,2022,576,8253,,,576,8829
Solano,95620,2020,728,5019,,,557,5747
Solano,95620,2021,865,5148,,,625,6013
Solano,95620,2022,845,5373,,,548,6218
Solano,95625,2020,10,49,,,12,59
Solano,95625,2021,2,65,,,1,67
Solano,95625,2022,6,64,,,4,70
Yolo,95627,2020,82,870,,,86,952
Yolo,95627,2021,117,842,,,112,959
Yolo,95627,2022,92,838,,,120,930
Yolo,95637,2020,15,70,,,14,85
Yolo,95637,2021,16,79,,,14,95
Yolo,95637,2022,24,76,,,13,100
Yolo,95653,2020,13,108,,,14,121
Yolo,95653,2021,9,109,,,12,118
Yolo,95653,2022,12,103,,,12,115
Yolo,95679,2020,4,15,,,5,19
Yolo,95679,2021,4,13,,,2,17
Yolo,95679,2022,7,17,,,1,24
Solano,95687,2020,2222,16323,,,1728,18545
Solano,95687,2021,2378,16519,,,2023,18897
Solano,95687,2022,1973,16842,,,1793,18815
Solano,95688,2020,1385,10595,,,1200,11980
Solano,95688,2021,1321,10734,,,1215,12055
Solano,95688,2022,1202,10703,,,1168,11905
Yolo,95694,2020,313,2154,,,202,2467
Yolo,95694,2021,416,2230,,,278,2646
Yolo,95694,2022,347,2318,,,289,2665
Yolo,95695,2020,853,8635,,,775,9488
Yolo,95695,2021,944,8569,,,951,9513
Yolo,95695,2022,761,8616,,,735,9377
Yolo,95697,2020,10,69,,,5,79
Yolo,95697,2021,8,72,,,6,80
Yolo,95697,2022,12,69,,,33,81
Yolo,95698,2020,5,47,,,3,52
Yolo,95698,2021,13,47,,,12,60
Yolo,95698,2022,3,52,,,5,55
Colusa,95912,2020,131,916,,,111,1047
Colusa,95912,2021,136,959,,,118,1095
Colusa,95912,2022,89,953,,,108,1042
Colusa,95932,2020,238,1707,,,202,1945
Colusa,95932,2021,234,1711,,,210,1945
Colusa,95932,2022,215,1735,,,185,1950
Yolo,95937,2020,50,296,,,28,346
Yolo,95937,2021,58,295,,,44,353
Yolo,95937,2022,43,322,,,40,365
Colusa,95979,2020,25,224,,,17,249
Colusa,95979,2021,36,215,,,30,251
Colusa,95979,2022,41,219,,,35,260
Colusa,95987,2020,134,1162,,,102,1296
Colusa,95987,2021,159,1182,,,132,1341
Colusa,95987,2022,123,1181,,,117,1304
