County,ZIP Code,Year,New,Renewed,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,Non-Renewed,Active
Lake,95426,2018,90,629,53.0,20.0,73,719
Sonoma,95430,2018,5,69,2.0,1.0,3,74
Sonoma,95433,2018,4,47,4.0,2.0,6,51
Sonoma,95436,2018,262,2099,198.0,64.0,262,2361
Sonoma,95439,2018,18,160,13.0,5.0,18,178
Sonoma,95441,2018,41,429,29.0,11.0,40,470
Sonoma,95442,2018,110,1136,113.0,23.0,136,1246
Sonoma,95444,2018,23,230,12.0,3.0,15,253
Mendocino,95445,2018,113,1014,86.0,30.0,116,1127
Sonoma,95446,2018,323,2415,221.0,108.0,329,2738
Sonoma,95448,2018,570,4910,459.0,93.0,552,5480
Mendocino,95449,2018,40,256,21.0,6.0,27,296
Sonoma,95450,2018,25,243,22.0,11.0,33,268
Lake,95451,2018,534,3891,399.0,162.0,561,4425
Sonoma,95452,2018,50,613,51.0,13.0,64,663
Lake,95457,2018,170,981,91.0,50.0,141,1151
Lake,95461,2018,150,925,86.0,30.0,116,1075
Sonoma,95462,2018,91,787,61.0,26.0,87,878
Sonoma,95465,2018,61,556,35.0,11.0,46,617
Lake,95467,2018,361,2110,254.0,60.0,314,2471
Sonoma,95471,2018,5,151,9.0,4.0,13,156
Sonoma,95472,2018,948,8837,711.0,180.0,891,9785
Sonoma,95476,2018,1260,10610,1027.0,173.0,1200,11870
Sonoma,95486,2018,4,61,6.0,1.0,7,65
Sonoma,95492,2018,882,7884,774.0,112.0,886,8766
Sonoma,95497,2018,164,1310,132.0,28.0,160,1474
Yolo,95606,2018,3,31,1.0,0.0,1,34
Yolo,95607,2018,6,65,4.0,2.0,6,71
Yolo,95616,2018,797,8184,665.0,68.0,733,8981
Solano,95620,2018,644,4855,489.0,55.0,544,5499
Solano,95625,2018,4,61,6.0,1.0,7,65
Yolo,95627,2018,110,836,70.0,26.0,96,946
Yolo,95637,2018,8,77,4.0,2.0,6,85
Yolo,95653,2018,10,113,8.0,1.0,9,123
Yolo,95679,2018,0,15,1.0,1.0,2,15
Solano,95687,2018,2002,15930,1613.0,190.0,1803,17932
Solano,95688,2018,1171,10507,1002.0,116.0,1118,11678
Yolo,95694,2018,218,2100,189.0,32.0,221,2318
Yolo,95695,2018,915,8527,746.0,164.0,910,9442
Yolo,95697,2018,4,57,5.0,0.0,5,61
Yolo,95698,2018,1,53,2.0,2.0,4,54
Colusa,95912,2018,118,907,96.0,23.0,119,1025
Colusa,95932,2018,219,1700,160.0,64.0,224,1919
Yolo,95937,2018,42,273,31.0,13.0,44,315
Colusa,95979,2018,24,222,13.0,4.0,17,246
Colusa,95987,2018,167,1094,114.0,27.0,141,1261
Napa,94503,2019,580,4895,457.0,77.0,534,5475
Napa,94508,2019,85,669,51.0,37.0,88,754
Solano,94510,2019,740,7610,642.0,76.0,718,8350
Solano,94512,2019,0,28,14.0,2.0,16,28
